Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,3.0,0.8,0,0
1.0,2,3.0,0.8,0,0
1.0,3,4.16,1.05,0,0
2.0,1,3.6,1.4,3,1
2.0,2,3.6,1.4,4,1
2.0,3,4.76,1.65,5,1
3.0,1,3.52,1.8,5,1
3.0,2,3.6,1.4,6,2
3.0,3,4.48,2.13,7,1
4.0,1,2.87,2.45,6,1
4.0,2,3.28,1.8,7,2
4.0,3,3.71,2.9,9,1
5.0,1,1.95,3.37,6,1
5.0,2,2.63,2.45,7,2
5.0,3,2.66,3.95,9,1
6.0,1,1.32,4.0,6,1
6.0,2,2.19,2.89,7,2
6.0,3,1.9,4.71,9,1
7.0,1,0.6,4.72,6,1
7.0,2,1.35,3.73,7,2
7.0,3,0.85,5.76,9,1
8.0,1,0.0,5.32,6,1
8.0,2,0.63,4.45,7,2
8.0,3,0.0,6.61,9,1
9.0,1,0.0,5.32,6,1
9.0,2,0.0,5.08,7,2
9.0,3,0.0,6.61,9,1
