Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,3.0,0.8,0,0
1.0,2,3.0,0.8,0,0
1.0,3,4.16,1.05,0,0
2.0,1,2.67,1.43,2,0
2.0,2,3.6,1.4,3,1
2.0,3,3.6,1.77,3,0
3.0,1,1.95,2.15,3,0
3.0,2,3.28,1.8,4,1
3.0,3,2.97,2.4,3,0
4.0,1,1.32,2.79,3,0
4.0,2,2.63,2.45,4,1
4.0,3,2.12,3.25,3,0
5.0,1,0.6,3.51,3,0
5.0,2,2.19,2.89,4,1
5.0,3,1.4,3.97,3,0
6.0,1,0.0,4.11,3,0
6.0,2,1.35,3.73,4,1
6.0,3,0.77,4.6,3,0
7.0,1,0.0,4.11,3,0
7.0,2,0.63,4.45,4,1
7.0,3,0.0,5.37,3,0
8.0,1,0.0,4.11,3,0
8.0,2,0.0,5.08,4,1
8.0,3,0.0,5.37,3,0
