Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,4.2,0.4,1,1
1.0,2,4.2,0.4,1,1
1.0,3,4.16,1.05,2,0
2.0,1,3.8,0.8,1,1
2.0,2,3.8,0.8,1,1
2.0,3,3.31,1.9,2,0
3.0,1,3.2,1.4,2,1
3.0,2,3.31,1.4,2,1
3.0,3,2.46,2.75,2,0
4.0,1,2.4,2.2,2,1
4.0,2,2.91,1.8,2,1
4.0,3,1.61,3.59,2,0
5.0,1,1.8,2.8,2,1
5.0,2,2.07,2.63,2,1
5.0,3,0.77,4.44,2,0
6.0,1,1.2,3.4,2,1
6.0,2,1.35,3.35,2,1
6.0,3,0.0,5.21,2,0
7.0,1,0.6,4.0,2,1
7.0,2,0.72,3.99,2,1
7.0,3,0.0,5.21,2,0
8.0,1,0.0,4.6,2,1
8.0,2,0.0,4.71,2,1
8.0,3,0.0,5.21,2,0
