Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,4.2,0.4,1,1
1.0,2,3.0,0.8,0,0
1.0,3,4.16,1.05,1,0
2.0,1,4.2,0.4,2,2
2.0,2,2.67,1.43,2,0
2.0,3,3.65,1.77,2,0
3.0,1,3.8,0.8,2,2
3.0,2,1.95,2.15,2,0
3.0,3,3.02,2.4,2,0
4.0,1,3.2,1.4,2,2
4.0,2,1.32,2.79,2,0
4.0,3,2.17,3.25,2,0
5.0,1,2.4,2.2,2,2
5.0,2,0.6,3.51,2,0
5.0,3,1.32,4.1,2,0
6.0,1,1.8,2.8,2,2
6.0,2,0.0,4.11,2,0
6.0,3,0.6,4.82,2,0
7.0,1,1.2,3.4,2,2
7.0,2,0.0,4.11,2,0
7.0,3,0.0,5.42,2,0
8.0,1,0.6,4.0,2,2
8.0,2,0.0,4.11,2,0
8.0,3,0.0,5.42,2,0
9.0,1,0.0,4.6,2,2
9.0,2,0.0,4.11,2,0
9.0,3,0.0,5.42,2,0
