Step,AgentID,Path cost,Cost so far,Collisions detected,Emergency breaks
0.0,1,3.8,0.0,0,0
0.0,2,3.8,0.0,0,0
0.0,3,5.21,0.0,0,0
1.0,1,3.0,0.8,0,0
1.0,2,3.0,0.8,0,0
1.0,3,4.16,1.05,0,0
2.0,1,3.6,1.4,4,1
2.0,2,3.6,1.4,3,1
2.0,3,4.76,1.65,5,1
3.0,1,3.6,1.4,6,2
3.0,2,3.6,1.4,7,2
3.0,3,4.76,1.65,11,2
4.0,1,3.6,1.4,8,3
4.0,2,3.37,1.8,11,2
4.0,3,4.76,1.65,15,3
5.0,1,3.6,1.4,12,4
5.0,2,2.73,2.45,11,2
5.0,3,4.76,1.65,19,4
6.0,1,3.28,1.8,15,4
6.0,2,2.28,2.89,11,2
6.0,3,4.76,1.65,22,5
7.0,1,2.63,2.45,15,4
7.0,2,1.45,3.73,11,2
7.0,3,4.28,2.13,22,5
8.0,1,2.19,2.89,15,4
8.0,2,0.8,4.37,11,2
8.0,3,3.51,2.9,22,5
9.0,1,1.35,3.73,15,4
9.0,2,0.4,4.77,11,2
9.0,3,2.46,3.95,22,5
10.0,1,0.63,4.45,15,4
10.0,2,0.0,5.17,11,2
10.0,3,1.61,4.79,22,5
11.0,1,0.0,5.08,15,4
11.0,2,0.0,5.17,11,2
11.0,3,0.77,5.64,22,5
12.0,1,0.0,5.08,15,4
12.0,2,0.0,5.17,11,2
12.0,3,0.0,6.41,22,5
